REPRESENTATIVE,PARTY,STATE,DISTRICT
"Feenstra, Randy",Republican,Iowa (IA),4th
"Ferguson, A. Drew IV",Republican,Georgia (GA),3rd
"Fischbach, Michelle",Republican,Minnesota (MN),7th
"Fitzgerald, Scott",Republican,Wisconsin (WI),5th
"Fitzpatrick, Brian K.",Republican,Pennsylvania (PA),1st
"Fleischmann, Charles J. ""Chuck""",Republican,Tennessee (TN),3rd
"Fletcher, Lizzie",Democrat,Texas (TX),7th
"Fortenberry, Jeff",Republican,Nebraska (NE),1st
"Foster, Bill",Democrat,Illinois (IL),11th
"Foxx, Virginia",Republican,North Carolina (NC),5th
"Frankel, Lois",Democrat,Florida (FL),21st
"Franklin, C. Scott",Republican,Florida (FL),15th
"Fulcher, Russ",Republican,Idaho (ID),1st
"Gaetz, Matt",Republican,Florida (FL),1st
"Gallagher, Mike",Republican,Wisconsin (WI),8th
"Gallego, Ruben",Democrat,Arizona (AZ),7th
"Garamendi, John",Democrat,California (CA),3rd
"Garbarino, Andrew R.",Republican,New York (NY),2nd
"Garcia, Mike",Republican,California (CA),25th
"Garcia, Sylvia R.",Democrat,Texas (TX),29th
"García, Jesús G. ""Chuy""",Democrat,Illinois (IL),4th
"Gibbs, Bob",Republican,Ohio (OH),7th
"Gimenez, Carlos A.",Republican,Florida (FL),26th
"Gohmert, Louie",Republican,Texas (TX),1st
"Golden, Jared F.",Democrat,Maine (ME),2nd
"Gomez, Jimmy",Democrat,California (CA),34th
"Gonzales, Tony",Republican,Texas (TX),23rd
"Gonzalez, Anthony",Republican,Ohio (OH),16th
"Gonzalez, Vicente",Democrat,Texas (TX),15th
"González-Colón, Jenniffer",Republican,Puerto Rico (PR),Delegate
"Good, Bob",Republican,Virginia (VA),5th
"Gooden, Lance",Republican,Texas (TX),5th
"Gosar, Paul A.",Republican,Arizona (AZ),4th
"Gottheimer, Josh",Democrat,New Jersey (NJ),5th
"Granger, Kay",Republican,Texas (TX),12th
"Graves, Garret",Republican,Louisiana (LA),6th
"Graves, Sam",Republican,Missouri (MO),6th
"Green, Al",Democrat,Texas (TX),9th
"Green, Mark E.",Republican,Tennessee (TN),7th
"Greene, Marjorie Taylor",Republican,Georgia (GA),14th
"Griffith, H. Morgan",Republican,Virginia (VA),9th
"Grijalva, Raúl M.",Democrat,Arizona (AZ),3rd
"Grothman, Glenn",Republican,Wisconsin (WI),6th
"Guest, Michael",Republican,Mississippi (MS),3rd
"Guthrie, Brett",Republican,Kentucky (KY),2nd
"Hagedorn, Jim",Republican,Minnesota (MN),1st
"Harder, Josh",Democrat,California (CA),10th
"Harris, Andy",Republican,Maryland (MD),1st
"Harshbarger, Diana",Republican,Tennessee (TN),1st
"Hartzler, Vicky",Republican,Missouri (MO),4th
"Hayes, Jahana",Democrat,Connecticut (CT),5th
"Hern, Kevin",Republican,Oklahoma (OK),1st
"Herrell, Yvette",Republican,New Mexico (NM),2nd
"Herrera Beutler, Jaime",Republican,Washington (WA),3rd
"Hice, Jody B.",Republican,Georgia (GA),10th
"Higgins, Brian",Democrat,New York (NY),26th
"Higgins, Clay",Republican,Louisiana (LA),3rd
"Hill, J. French",Republican,Arkansas (AR),2nd
"Himes, James A.",Democrat,Connecticut (CT),4th
"Hinson, Ashley",Republican,Iowa (IA),1st
"Hollingsworth, Trey",Republican,Indiana (IN),9th
"Horsford, Steven",Democrat,Nevada (NV),4th
"Houlahan, Chrissy",Democrat,Pennsylvania (PA),6th
"Hoyer, Steny H.",Democrat,Maryland (MD),5th
"Hudson, Richard",Republican,North Carolina (NC),8th
"Huffman, Jared",Democrat,California (CA),2nd
"Huizenga, Bill",Republican,Michigan (MI),2nd
"Issa, Darrell",Republican,California (CA),50th
"Jackson Lee, Sheila",Democrat,Texas (TX),18th
"Jackson, Ronny",Republican,Texas (TX),13th
"Jacobs, Chris",Republican,New York (NY),27th
"Jacobs, Sara",Democrat,California (CA),53rd
"Jayapal, Pramila",Democrat,Washington (WA),7th
"Jeffries, Hakeem S.",Democrat,New York (NY),8th
"Johnson, Bill",Republican,Ohio (OH),6th
"Johnson, Dusty",Republican,South Dakota (SD),At Large
"Johnson, Eddie Bernice",Democrat,Texas (TX),30th
"Johnson, Henry C. ""Hank"" Jr.",Democrat,Georgia (GA),4th
"Johnson, Mike",Republican,Louisiana (LA),4th
"Jones, Mondaire",Democrat,New York (NY),17th
"Jordan, Jim",Republican,Ohio (OH),4th
"Joyce, David P.",Republican,Ohio (OH),14th
"Joyce, John",Republican,Pennsylvania (PA),13th
"Kahele, Kaiali'i",Democrat,Hawaii (HI),2nd
"Kaptur, Marcy",Democrat,Ohio (OH),9th
"Katko, John",Republican,New York (NY),24th
"Keating, William R.",Democrat,Massachusetts (MA),9th
