,name,state,district,party,served
0,"Abraham, Ralph Lee",Louisiana,5,Republican,House: 2015-2021
2,"Adams, Alma S.",North Carolina,12,Democratic,House: 2014-Present
4,"Aderholt, Robert B.",Alabama,4,Republican,House: 1997-Present
6,"Aguilar, Pete",California,31,Democratic,House: 2015-Present
8,"Allen, Rick W.",Georgia,12,Republican,House: 2015-Present
10,"Allred, Colin Z.",Texas,32,Democratic,House: 2019-Present
12,"Amash, Justin",Michigan,3,Libertarian,House: 2011-2021
14,"Amodei, Mark E.",Nevada,2,Republican,House: 2011-Present
16,"Armstrong, Kelly",North Dakota,At Large,Republican,House: 2019-Present
18,"Arrington, Jodey C.",Texas,19,Republican,House: 2017-Present
20,"Auchincloss, Jake",Massachusetts,4,Democratic,House: 2021-Present
22,"Axne, Cynthia",Iowa,3,Democratic,House: 2019-Present
24,"Babin, Brian",Texas,36,Republican,House: 2015-Present
26,"Bacon, Don",Nebraska,2,Republican,House: 2017-Present
28,"Baird, James R.",Indiana,4,Republican,House: 2019-Present
30,"Balderson, Troy",Ohio,12,Republican,House: 2018-Present
32,"Banks, Jim",Indiana,3,Republican,House: 2017-Present
34,"Barr, Andy",Kentucky,6,Republican,House: 2013-Present
36,"Barragan, Nanette Diaz",California,44,Democratic,House: 2017-Present
38,"Bass, Karen",California,37,Democratic,House: 2011-Present
40,"Beatty, Joyce",Ohio,3,Democratic,House: 2013-Present
42,"Bentz, Cliff",Oregon,2,Republican,House: 2021-Present
44,"Bera, Ami",California,7,Democratic,House: 2013-Present
46,"Bergman, Jack",Michigan,1,Republican,House: 2017-Present
48,"Beyer, Donald S., Jr.",Virginia,8,Democratic,House: 2015-Present
50,"Bice, Stephanie I.",Oklahoma,5,Republican,House: 2021-Present
52,"Biggs, Andy",Arizona,5,Republican,House: 2017-Present
54,"Bilirakis, Gus M.",Florida,12,Republican,House: 2007-Present
56,"Bishop, Dan",North Carolina,9,Republican,House: 2019-Present
58,"Bishop, Rob",Utah,1,Republican,House: 2003-2021
60,"Bishop, Sanford D., Jr.",Georgia,2,Democratic,House: 1993-Present
62,"Blumenauer, Earl",Oregon,3,Democratic,House: 1995-Present
64,"Blunt Rochester, Lisa",Delaware,At Large,Democratic,House: 2017-Present
66,"Boebert, Lauren",Colorado,3,Republican,House: 2021-Present
68,"Bonamici, Suzanne",Oregon,1,Democratic,House: 2012-Present
70,"Bost, Mike",Illinois,12,Republican,House: 2015-Present
72,"Bourdeaux, Carolyn",Georgia,7,Democratic,House: 2021-Present
74,"Bowman, Jamaal",New York,16,Democratic,House: 2021-Present
76,"Boyle, Brendan F.",Pennsylvania,2,Democratic,House: 2015-Present
78,"Brady, Kevin",Texas,8,Republican,House: 1997-Present
80,"Brindisi, Anthony",New York,22,Democratic,House: 2019-2021
82,"Brooks, Mo",Alabama,5,Republican,House: 2011-Present
84,"Brooks, Susan W.",Indiana,5,Republican,House: 2013-2021
86,"Brown, Anthony G.",Maryland,4,Democratic,House: 2017-Present
88,"Brown, Shontel M.",Ohio,11,Democratic,House: 2021-Present
90,"Brownley, Julia",California,26,Democratic,House: 2013-Present
92,"Buchanan, Vern",Florida,16,Republican,House: 2007-Present
94,"Buck, Ken",Colorado,4,Republican,House: 2015-Present
96,"Bucshon, Larry",Indiana,8,Republican,House: 2011-Present
98,"Budd, Ted",North Carolina,13,Republican,House: 2017-Present
100,"Burchett, Tim",Tennessee,2,Republican,House: 2019-Present
102,"Burgess, Michael C.",Texas,26,Republican,House: 2003-Present
104,"Bush, Cori",Missouri,1,Democratic,House: 2021-Present
106,"Bustos, Cheri",Illinois,17,Democratic,House: 2013-Present
108,"Butterfield, G. K.",North Carolina,1,Democratic,House: 2004-Present
110,"Byrne, Bradley",Alabama,1,Republican,House: 2014-2021
112,"Calvert, Ken",California,42,Republican,House: 1993-Present
114,"Cammack, Kat",Florida,3,Republican,House: 2021-Present
116,"Carbajal, Salud O.",California,24,Democratic,House: 2017-Present
118,"Carey, Mike",Ohio,15,Republican,House: 2021-Present
120,"Carl, Jerry L.",Alabama,1,Republican,House: 2021-Present
122,"Carson, Andre",Indiana,7,Democratic,House: 2008-Present
124,"Carter, Earl L. ""Buddy""",Georgia,1,Republican,House: 2015-Present
126,"Carter, John R.",Texas,31,Republican,House: 2003-Present
128,"Carter, Troy",Louisiana,2,Democratic,House: 2021-Present
130,"Cartwright, Matt",Pennsylvania,8,Democratic,House: 2013-Present
132,"Case, Ed",Hawaii,1,Democratic,"House: 2002-2007, 2019-Present"
134,"Casten, Sean",Illinois,6,Democratic,House: 2019-Present
136,"Castor, Kathy",Florida,14,Democratic,House: 2007-Present
138,"Castro, Joaquin",Texas,20,Democratic,House: 2013-Present
140,"Cawthorn, Madison",North Carolina,11,Republican,House: 2021-Present
142,"Chabot, Steve",Ohio,1,Republican,"House: 1995-2009, 2011-Present"
144,"Cheney, Liz",Wyoming,At Large,Republican,House: 2017-Present
146,"Chu, Judy",California,27,Democratic,House: 2009-Present
148,"Cicilline, David N.",Rhode Island,1,Democratic,House: 2011-Present
150,"Cisneros, Gilbert Ray, Jr.",California,39,Democratic,House: 2019-2021
152,"Clark, Katherine M.",Massachusetts,5,Democratic,House: 2013-Present
154,"Clarke, Yvette D.",New York,9,Democratic,House: 2007-Present
156,"Clay, Wm. Lacy",Missouri,1,Democratic,House: 2001-2021
158,"Cleaver, Emanuel",Missouri,5,Democratic,House: 2005-Present
160,"Cline, Ben",Virginia,6,Republican,House: 2019-Present
162,"Cloud, Michael",Texas,27,Republican,House: 2018-Present
164,"Clyburn, James E.",South Carolina,6,Democratic,House: 1993-Present
166,"Clyde, Andrew S.",Georgia,9,Republican,House: 2021-Present
168,"Cohen, Steve",Tennessee,9,Democratic,House: 2007-Present
170,"Cole, Tom",Oklahoma,4,Republican,House: 2003-Present
172,"Collins, Chris",New York,27,Republican,House: 2013-2019
174,"Collins, Doug",Georgia,9,Republican,House: 2013-2021
176,"Comer, James",Kentucky,1,Republican,House: 2016-Present
