,name,state,district,party,served
178,"Conaway, K. Michael",Texas,11,Republican,House: 2005-2021
180,"Connolly, Gerald E.",Virginia,11,Democratic,House: 2009-Present
182,"Cook, Paul",California,8,Republican,House: 2013-2020
184,"Cooper, Jim",Tennessee,5,Democratic,"House: 1983-1995, 2003-Present"
186,"Correa, J. Luis",California,46,Democratic,House: 2017-Present
188,"Costa, Jim",California,16,Democratic,House: 2005-Present
190,"Courtney, Joe",Connecticut,2,Democratic,House: 2007-Present
192,"Cox, TJ",California,21,Democratic,House: 2019-2021
194,"Craig, Angie",Minnesota,2,Democratic,House: 2019-Present
196,"Crawford, Eric A. ""Rick""",Arkansas,1,Republican,House: 2011-Present
198,"Crenshaw, Dan",Texas,2,Republican,House: 2019-Present
200,"Crist, Charlie",Florida,13,Democratic,House: 2017-Present
202,"Crow, Jason",Colorado,6,Democratic,House: 2019-Present
204,"Cuellar, Henry",Texas,28,Democratic,House: 2005-Present
206,"Cummings, Elijah E.",Maryland,7,Democratic,House: 1995-2019
208,"Cunningham, Joe",South Carolina,1,Democratic,House: 2019-2021
210,"Curtis, John R.",Utah,3,Republican,House: 2017-Present
212,"Cárdenas, Tony",California,29,Democratic,House: 2013-Present
214,"Davids, Sharice",Kansas,3,Democratic,House: 2019-Present
216,"Davidson, Warren",Ohio,8,Republican,House: 2016-Present
218,"Davis, Danny K.",Illinois,7,Democratic,House: 1997-Present
220,"Davis, Rodney",Illinois,13,Republican,House: 2013-Present
222,"Davis, Susan A.",California,53,Democratic,House: 2001-2021
224,"Dean, Madeleine",Pennsylvania,4,Democratic,House: 2019-Present
226,"DeFazio, Peter A.",Oregon,4,Democratic,House: 1987-Present
228,"DeGette, Diana",Colorado,1,Democratic,House: 1997-Present
230,"DeLauro, Rosa L.",Connecticut,3,Democratic,House: 1991-Present
232,"DelBene, Suzan K.",Washington,1,Democratic,House: 2012-Present
234,"Delgado, Antonio",New York,19,Democratic,House: 2019-Present
236,"Demings, Val Butler",Florida,10,Democratic,House: 2017-Present
238,"DeSaulnier, Mark",California,11,Democratic,House: 2015-Present
240,"DesJarlais, Scott",Tennessee,4,Republican,House: 2011-Present
242,"Deutch, Theodore E.",Florida,22,Democratic,House: 2010-Present
244,"Diaz-Balart, Mario",Florida,25,Republican,House: 2003-Present
246,"Dingell, Debbie",Michigan,12,Democratic,House: 2015-Present
248,"Doggett, Lloyd",Texas,35,Democratic,House: 1995-Present
250,"Donalds, Byron",Florida,19,Republican,House: 2021-Present
252,"Doyle, Michael F.",Pennsylvania,18,Democratic,House: 1995-Present
254,"Duffy, Sean P.",Wisconsin,7,Republican,House: 2011-2019
256,"Duncan, Jeff",South Carolina,3,Republican,House: 2011-Present
258,"Dunn, Neal P.",Florida,2,Republican,House: 2017-Present
260,"Ellzey, Jake",Texas,6,Republican,House: 2021-Present
262,"Emmer, Tom",Minnesota,6,Republican,House: 2015-Present
264,"Engel, Eliot L.",New York,16,Democratic,House: 1989-2021
266,"Escobar, Veronica",Texas,16,Democratic,House: 2019-Present
268,"Eshoo, Anna G.",California,18,Democratic,House: 1993-Present
270,"Espaillat, Adriano",New York,13,Democratic,House: 2017-Present
272,"Estes, Ron",Kansas,4,Republican,House: 2017-Present
274,"Evans, Dwight",Pennsylvania,3,Democratic,House: 2016-Present
276,"Fallon, Pat",Texas,4,Republican,House: 2021-Present
278,"Feenstra, Randy",Iowa,4,Republican,House: 2021-Present
280,"Ferguson, A. Drew, IV",Georgia,3,Republican,House: 2017-Present
282,"Finkenauer, Abby",Iowa,1,Democratic,House: 2019-2021
284,"Fischbach, Michelle",Minnesota,7,Republican,House: 2021-Present
286,"Fitzgerald, Scott",Wisconsin,5,Republican,House: 2021-Present
288,"Fitzpatrick, Brian K.",Pennsylvania,1,Republican,House: 2017-Present
290,"Fleischmann, Charles J. ""Chuck""",Tennessee,3,Republican,House: 2011-Present
292,"Fletcher, Lizzie",Texas,7,Democratic,House: 2019-Present
294,"Flores, Bill",Texas,17,Republican,House: 2011-2021
296,"Fortenberry, Jeff",Nebraska,1,Republican,House: 2005-Present
298,"Foster, Bill",Illinois,11,Democratic,"House: 2008-2011, 2013-Present"
300,"Foxx, Virginia",North Carolina,5,Republican,House: 2005-Present
302,"Frankel, Lois",Florida,21,Democratic,House: 2013-Present
304,"Franklin, C. Scott",Florida,15,Republican,House: 2021-Present
306,"Fudge, Marcia L.",Ohio,11,Democratic,House: 2008-2021
308,"Fulcher, Russ",Idaho,1,Republican,House: 2019-Present
310,"Gabbard, Tulsi",Hawaii,2,Democratic,House: 2013-2021
312,"Gaetz, Matt",Florida,1,Republican,House: 2017-Present
314,"Gallagher, Mike",Wisconsin,8,Republican,House: 2017-Present
316,"Gallego, Ruben",Arizona,7,Democratic,House: 2015-Present
318,"Garamendi, John",California,3,Democratic,House: 2009-Present
320,"Garbarino, Andrew R.",New York,2,Republican,House: 2021-Present
322,"Garcia, Jesus G. ""Chuy""",Illinois,4,Democratic,House: 2019-Present
324,"Garcia, Mike",California,25,Republican,House: 2020-Present
326,"Garcia, Sylvia R.",Texas,29,Democratic,House: 2019-Present
328,"Gianforte, Greg",Montana,At Large,Republican,House: 2017-2021
330,"Gibbs, Bob",Ohio,7,Republican,House: 2011-Present
332,"Gimenez, Carlos A.",Florida,26,Republican,House: 2021-Present
334,"Gohmert, Louie",Texas,1,Republican,House: 2005-Present
336,"Golden, Jared F.",Maine,2,Democratic,House: 2019-Present
338,"Gomez, Jimmy",California,34,Democratic,House: 2017-Present
340,"Gonzales, Tony",Texas,23,Republican,House: 2021-Present
342,"Gonzalez, Anthony",Ohio,16,Republican,House: 2019-Present
344,"Gonzalez, Vicente",Texas,15,Democratic,House: 2017-Present
346,"Resident Commissioner González-Colón, Jenniffer",Puerto Rico,At Large,Republican,House: 2017-Present
348,"Good, Bob",Virginia,5,Republican,House: 2021-Present
350,"Gooden, Lance",Texas,5,Republican,House: 2019-Present
352,"Gosar, Paul A.",Arizona,4,Republican,House: 2011-Present
354,"Gottheimer, Josh",New Jersey,5,Democratic,House: 2017-Present
356,"Granger, Kay",Texas,12,Republican,House: 1997-Present
358,"Graves, Garret",Louisiana,6,Republican,House: 2015-Present
360,"Graves, Sam",Missouri,6,Republican,House: 2001-Present
362,"Graves, Tom",Georgia,14,Republican,House: 2010-2020
364,"Green, Al",Texas,9,Democratic,House: 2005-Present
366,"Green, Mark E.",Tennessee,7,Republican,House: 2019-Present
368,"Greene, Marjorie Taylor",Georgia,14,Republican,House: 2021-Present
370,"Griffith, H. Morgan",Virginia,9,Republican,House: 2011-Present
372,"Grijalva, Raúl M.",Arizona,3,Democratic,House: 2003-Present
374,"Grothman, Glenn",Wisconsin,6,Republican,House: 2015-Present
376,"Guest, Michael",Mississippi,3,Republican,House: 2019-Present
378,"Guthrie, Brett",Kentucky,2,Republican,House: 2009-Present
380,"Haaland, Debra A.",New Mexico,1,Democratic,House: 2019-2021
382,"Hagedorn, Jim",Minnesota,1,Republican,House: 2019-Present
384,"Hall, Kwanza",Georgia,5,Democratic,House: 2020-2021
386,"Harder, Josh",California,10,Democratic,House: 2019-Present
388,"Harris, Andy",Maryland,1,Republican,House: 2011-Present
390,"Harshbarger, Diana",Tennessee,1,Republican,House: 2021-Present
392,"Hartzler, Vicky",Missouri,4,Republican,House: 2011-Present
394,"Hastings, Alcee L.",Florida,20,Democratic,House: 1993-2021
396,"Hayes, Jahana",Connecticut,5,Democratic,House: 2019-Present
398,"Heck, Denny",Washington,10,Democratic,House: 2013-2021
400,"Hern, Kevin",Oklahoma,1,Republican,House: 2018-Present
402,"Herrell, Yvette",New Mexico,2,Republican,House: 2021-Present
404,"Herrera Beutler, Jaime",Washington,3,Republican,House: 2011-Present
406,"Hice, Jody B.",Georgia,10,Republican,House: 2015-Present
408,"Higgins, Brian",New York,26,Democratic,House: 2005-Present
410,"Higgins, Clay",Louisiana,3,Republican,House: 2017-Present
412,"Hill, J. French",Arkansas,2,Republican,House: 2015-Present
414,"Hill, Katie",California,25,Democratic,House: 2019
416,"Himes, James A.",Connecticut,4,Democratic,House: 2009-Present
418,"Hinson, Ashley",Iowa,1,Republican,House: 2021-Present
420,"Holding, George",North Carolina,2,Republican,House: 2013-2021
422,"Hollingsworth, Trey",Indiana,9,Republican,House: 2017-Present
424,"Horn, Kendra S.",Oklahoma,5,Democratic,House: 2019-2021
426,"Horsford, Steven",Nevada,4,Democratic,"House: 2013-2015, 2019-Present"
428,"Houlahan, Chrissy",Pennsylvania,6,Democratic,House: 2019-Present
430,"Hoyer, Steny H.",Maryland,5,Democratic,House: 1981-Present
432,"Hudson, Richard",North Carolina,8,Republican,House: 2013-Present
434,"Huffman, Jared",California,2,Democratic,House: 2013-Present
436,"Huizenga, Bill",Michigan,2,Republican,House: 2011-Present
438,"Hunter, Duncan D.",California,50,Republican,House: 2009-2020
440,"Hurd, Will",Texas,23,Republican,House: 2015-2021
442,"Issa, Darrell E.",California,50,Republican,"House: 2001-2019, 2021-Present"
444,"Jackson Lee, Sheila",Texas,18,Democratic,House: 1995-Present
446,"Jackson, Ronny",Texas,13,Republican,House: 2021-Present
448,"Jacobs, Chris",New York,27,Republican,House: 2020-Present
450,"Jacobs, Sara",California,53,Democratic,House: 2021-Present
452,"Jayapal, Pramila",Washington,7,Democratic,House: 2017-Present
454,"Jeffries, Hakeem S.",New York,8,Democratic,House: 2013-Present
456,"Johnson, Bill",Ohio,6,Republican,House: 2011-Present
458,"Johnson, Dusty",South Dakota,At Large,Republican,House: 2019-Present
460,"Johnson, Eddie Bernice",Texas,30,Democratic,House: 1993-Present
462,"Johnson, Henry C. ""Hank,"" Jr.",Georgia,4,Democratic,House: 2007-Present
464,"Johnson, Mike",Louisiana,4,Republican,House: 2017-Present
466,"Jones, Mondaire",New York,17,Democratic,House: 2021-Present
468,"Jones, Walter B., Jr.",North Carolina,3,Republican,House: 1995-2019
470,"Jordan, Jim",Ohio,4,Republican,House: 2007-Present
472,"Joyce, David P.",Ohio,14,Republican,House: 2013-Present
474,"Joyce, John",Pennsylvania,13,Republican,House: 2019-Present
476,"Kahele, Kaiali'i",Hawaii,2,Democratic,House: 2021-Present
478,"Kaptur, Marcy",Ohio,9,Democratic,House: 1983-Present
480,"Katko, John",New York,24,Republican,House: 2015-Present
482,"Keating, William R.",Massachusetts,9,Democratic,House: 2011-Present
484,"Keller, Fred",Pennsylvania,12,Republican,House: 2019-Present
486,"Kelly, Mike",Pennsylvania,16,Republican,House: 2011-Present
488,"Kelly, Robin L.",Illinois,2,Democratic,House: 2013-Present
490,"Kelly, Trent",Mississippi,1,Republican,House: 2015-Present
492,"Kennedy, Joseph P., III",Massachusetts,4,Democratic,House: 2013-2021
494,"Khanna, Ro",California,17,Democratic,House: 2017-Present
496,"Kildee, Daniel T.",Michigan,5,Democratic,House: 2013-Present
498,"Kilmer, Derek",Washington,6,Democratic,House: 2013-Present
