,name,state,district,party,served
414,"Takano, Mark",California,41,Democratic,House: 2013-Present
416,"Taylor, Van",Texas,3,Republican,House: 2019-Present
418,"Tenney, Claudia",New York,22,Republican,"House: 2017-2019, 2021-Present"
420,"Thompson, Bennie G.",Mississippi,2,Democratic,House: 1993-Present
422,"Thompson, Glenn",Pennsylvania,15,Republican,House: 2009-Present
424,"Thompson, Mike",California,5,Democratic,House: 1999-Present
426,"Thornberry, Mac",Texas,13,Republican,House: 1995-2021
428,"Tiffany, Thomas P.",Wisconsin,7,Republican,House: 2020-Present
430,"Timmons, William R. IV",South Carolina,4,Republican,House: 2019-Present
432,"Tipton, Scott R.",Colorado,3,Republican,House: 2011-2021
434,"Titus, Dina",Nevada,1,Democratic,"House: 2009-2011, 2013-Present"
436,"Tlaib, Rashida",Michigan,13,Democratic,House: 2019-Present
438,"Tonko, Paul",New York,20,Democratic,House: 2009-Present
440,"Torres Small, Xochitl",New Mexico,2,Democratic,House: 2019-2021
442,"Torres, Norma J.",California,35,Democratic,House: 2015-Present
444,"Torres, Ritchie",New York,15,Democratic,House: 2021-Present
446,"Trahan, Lori",Massachusetts,3,Democratic,House: 2019-Present
448,"Trone, David J.",Maryland,6,Democratic,House: 2019-Present
450,"Turner, Michael R.",Ohio,10,Republican,House: 2003-Present
452,"Underwood, Lauren",Illinois,14,Democratic,House: 2019-Present
454,"Upton, Fred",Michigan,6,Republican,House: 1987-Present
456,"Valadao, David G.",California,21,Republican,"House: 2013-2019, 2021-Present"
458,"Van Drew, Jefferson",New Jersey,2,Republican,House: 2019-Present
460,"Van Duyne, Beth",Texas,24,Republican,House: 2021-Present
462,"Vargas, Juan",California,51,Democratic,House: 2013-Present
464,"Veasey, Marc A.",Texas,33,Democratic,House: 2013-Present
466,"Vela, Filemon",Texas,34,Democratic,House: 2013-Present
468,"Velazquez, Nydia M.",New York,7,Democratic,House: 1993-Present
470,"Visclosky, Peter J.",Indiana,1,Democratic,House: 1985-2021
472,"Wagner, Ann",Missouri,2,Republican,House: 2013-Present
474,"Walberg, Tim",Michigan,7,Republican,"House: 2007-2009, 2011-Present"
476,"Walden, Greg",Oregon,2,Republican,House: 1999-2021
478,"Walker, Mark",North Carolina,6,Republican,House: 2015-2021
480,"Walorski, Jackie",Indiana,2,Republican,House: 2013-Present
482,"Waltz, Michael",Florida,6,Republican,House: 2019-Present
484,"Wasserman Schultz, Debbie",Florida,23,Democratic,House: 2005-Present
486,"Waters, Maxine",California,43,Democratic,House: 1991-Present
488,"Watkins, Steve",Kansas,2,Republican,House: 2019-2021
490,"Watson Coleman, Bonnie",New Jersey,12,Democratic,House: 2015-Present
492,"Weber, Randy K., Sr.",Texas,14,Republican,House: 2013-Present
494,"Webster, Daniel",Florida,11,Republican,House: 2011-Present
496,"Welch, Peter",Vermont,At Large,Democratic,House: 2007-Present
498,"Wenstrup, Brad R.",Ohio,2,Republican,House: 2013-Present
