,name,state,district,party,served
0,"Kim, Andy",New Jersey,3,Democratic,House: 2019-Present
2,"Kim, Young",California,39,Republican,House: 2021-Present
4,"Kind, Ron",Wisconsin,3,Democratic,House: 1997-Present
6,"King, Peter T.",New York,2,Republican,House: 1993-2021
8,"King, Steve",Iowa,4,Republican,House: 2003-2021
10,"Kinzinger, Adam",Illinois,16,Republican,House: 2011-Present
12,"Kirkpatrick, Ann",Arizona,2,Democratic,"House: 2009-2011, 2013-2017, 2019-Present"
14,"Krishnamoorthi, Raja",Illinois,8,Democratic,House: 2017-Present
16,"Kuster, Ann M.",New Hampshire,2,Democratic,House: 2013-Present
18,"Kustoff, David",Tennessee,8,Republican,House: 2017-Present
20,"LaHood, Darin",Illinois,18,Republican,House: 2015-Present
22,"LaMalfa, Doug",California,1,Republican,House: 2013-Present
24,"Lamb, Conor",Pennsylvania,17,Democratic,House: 2018-Present
26,"Lamborn, Doug",Colorado,5,Republican,House: 2007-Present
28,"Langevin, James R.",Rhode Island,2,Democratic,House: 2001-Present
30,"Larsen, Rick",Washington,2,Democratic,House: 2001-Present
32,"Larson, John B.",Connecticut,1,Democratic,House: 1999-Present
34,"Latta, Robert E.",Ohio,5,Republican,House: 2007-Present
36,"LaTurner, Jake",Kansas,2,Republican,House: 2021-Present
38,"Lawrence, Brenda L.",Michigan,14,Democratic,House: 2015-Present
40,"Lawson, Al, Jr.",Florida,5,Democratic,House: 2017-Present
42,"Lee, Barbara",California,13,Democratic,House: 1997-Present
44,"Lee, Susie",Nevada,3,Democratic,House: 2019-Present
46,"Leger Fernandez, Teresa",New Mexico,3,Democratic,House: 2021-Present
48,"Lesko, Debbie",Arizona,8,Republican,House: 2018-Present
50,"Letlow, Julia",Louisiana,5,Republican,House: 2021-Present
52,"Levin, Andy",Michigan,9,Democratic,House: 2019-Present
54,"Levin, Mike",California,49,Democratic,House: 2019-Present
56,"Lewis, John",Georgia,5,Democratic,House: 1987-2020
58,"Lieu, Ted",California,33,Democratic,House: 2015-Present
60,"Lipinski, Daniel",Illinois,3,Democratic,House: 2005-2021
62,"Loebsack, David",Iowa,2,Democratic,House: 2007-2021
64,"Lofgren, Zoe",California,19,Democratic,House: 1995-Present
66,"Long, Billy",Missouri,7,Republican,House: 2011-Present
68,"Loudermilk, Barry",Georgia,11,Republican,House: 2015-Present
70,"Lowenthal, Alan S.",California,47,Democratic,House: 2013-Present
72,"Lowey, Nita M.",New York,17,Democratic,House: 1989-2021
74,"Lucas, Frank D.",Oklahoma,3,Republican,House: 1993-Present
76,"Luetkemeyer, Blaine",Missouri,3,Republican,House: 2009-Present
78,"Lujan, Ben",New Mexico,3,Democratic,Senate: 2021-Present
80,"Luria, Elaine G.",Virginia,2,Democratic,House: 2019-Present
82,"Lynch, Stephen F.",Massachusetts,8,Democratic,House: 2001-Present
84,"Mace, Nancy",South Carolina,1,Republican,House: 2021-Present
86,"Malinowski, Tom",New Jersey,7,Democratic,House: 2019-Present
88,"Malliotakis, Nicole",New York,11,Republican,House: 2021-Present
90,"Maloney, Carolyn B.",New York,12,Democratic,House: 1993-Present
92,"Maloney, Sean Patrick",New York,18,Democratic,House: 2013-Present
94,"Mann, Tracey",Kansas,1,Republican,House: 2021-Present
96,"Manning, Kathy E.",North Carolina,6,Democratic,House: 2021-Present
98,"Marchant, Kenny",Texas,24,Republican,House: 2005-2021
100,"Marino, Tom",Pennsylvania,12,Republican,House: 2011-2019
102,"Marshall, Roger",Kansas,1,Republican,Senate: 2021-Present
104,"Massie, Thomas",Kentucky,4,Republican,House: 2012-Present
106,"Mast, Brian J.",Florida,18,Republican,House: 2017-Present
108,"Matsui, Doris O.",California,6,Democratic,House: 2005-Present
110,"McAdams, Ben",Utah,4,Democratic,House: 2019-2021
112,"McBath, Lucy",Georgia,6,Democratic,House: 2019-Present
114,"McCarthy, Kevin",California,23,Republican,House: 2007-Present
116,"McCaul, Michael T.",Texas,10,Republican,House: 2005-Present
118,"McClain, Lisa C.",Michigan,10,Republican,House: 2021-Present
120,"McClintock, Tom",California,4,Republican,House: 2009-Present
122,"McCollum, Betty",Minnesota,4,Democratic,House: 2001-Present
124,"McEachin, A. Donald",Virginia,4,Democratic,House: 2017-Present
126,"McGovern, James P.",Massachusetts,2,Democratic,House: 1997-Present
128,"McHenry, Patrick T.",North Carolina,10,Republican,House: 2005-Present
130,"McKinley, David B.",West Virginia,1,Republican,House: 2011-Present
132,"McMorris Rodgers, Cathy",Washington,5,Republican,House: 2005-Present
134,"McNerney, Jerry",California,9,Democratic,House: 2007-Present
136,"Meadows, Mark",North Carolina,11,Republican,House: 2013-2020
138,"Meeks, Gregory W.",New York,5,Democratic,House: 1997-Present
140,"Meijer, Peter",Michigan,3,Republican,House: 2021-Present
142,"Meng, Grace",New York,6,Democratic,House: 2013-Present
144,"Meuser, Daniel",Pennsylvania,9,Republican,House: 2019-Present
146,"Mfume, Kweisi",Maryland,7,Democratic,"House: 1987-1997, 2020-Present"
148,"Miller, Carol D.",West Virginia,3,Republican,House: 2019-Present
150,"Miller, Mary E.",Illinois,15,Republican,House: 2021-Present
152,"Miller-Meeks, Mariannette",Iowa,2,Republican,House: 2021-Present
154,"Mitchell, Paul",Michigan,10,Independent,House: 2017-2021
156,"Moolenaar, John R.",Michigan,4,Republican,House: 2015-Present
158,"Mooney, Alexander X.",West Virginia,2,Republican,House: 2015-Present
160,"Moore, Barry",Alabama,2,Republican,House: 2021-Present
162,"Moore, Blake D.",Utah,1,Republican,House: 2021-Present
164,"Moore, Gwen",Wisconsin,4,Democratic,House: 2005-Present
166,"Morelle, Joseph D.",New York,25,Democratic,House: 2018-Present
168,"Moulton, Seth",Massachusetts,6,Democratic,House: 2015-Present
170,"Mrvan, Frank J.",Indiana,1,Democratic,House: 2021-Present
172,"Mucarsel-Powell, Debbie",Florida,26,Democratic,House: 2019-2021
174,"Mullin, Markwayne",Oklahoma,2,Republican,House: 2013-Present
176,"Murphy, Gregory",North Carolina,3,Republican,House: 2019-Present
178,"Murphy, Stephanie N.",Florida,7,Democratic,House: 2017-Present
180,"Nadler, Jerrold",New York,10,Democratic,House: 1991-Present
182,"Napolitano, Grace F.",California,32,Democratic,House: 1999-Present
184,"Neal, Richard E.",Massachusetts,1,Democratic,House: 1989-Present
186,"Neguse, Joe",Colorado,2,Democratic,House: 2019-Present
188,"Nehls, Troy E.",Texas,22,Republican,House: 2021-Present
190,"Newhouse, Dan",Washington,4,Republican,House: 2015-Present
192,"Newman, Marie",Illinois,3,Democratic,House: 2021-Present
194,"Norcross, Donald",New Jersey,1,Democratic,House: 2014-Present
196,"Norman, Ralph",South Carolina,5,Republican,House: 2017-Present
198,"Delegate Norton, Eleanor Holmes",District of Columbia,At Large,Democratic,House: 1991-Present
200,"Nunes, Devin",California,22,Republican,House: 2003-Present
202,"O'Halleran, Tom",Arizona,1,Democratic,House: 2017-Present
204,"Obernolte, Jay",California,8,Republican,House: 2021-Present
206,"Ocasio-Cortez, Alexandria",New York,14,Democratic,House: 2019-Present
208,"Olson, Pete",Texas,22,Republican,House: 2009-2021
210,"Omar, Ilhan",Minnesota,5,Democratic,House: 2019-Present
212,"Owens, Burgess",Utah,4,Republican,House: 2021-Present
214,"Palazzo, Steven M.",Mississippi,4,Republican,House: 2011-Present
216,"Pallone, Frank, Jr.",New Jersey,6,Democratic,House: 1987-Present
218,"Palmer, Gary J.",Alabama,6,Republican,House: 2015-Present
220,"Panetta, Jimmy",California,20,Democratic,House: 2017-Present
222,"Pappas, Chris",New Hampshire,1,Democratic,House: 2019-Present
224,"Pascrell, Bill, Jr.",New Jersey,9,Democratic,House: 1997-Present
226,"Payne, Donald M., Jr.",New Jersey,10,Democratic,House: 2012-Present
228,"Pelosi, Nancy",California,12,Democratic,House: 1987-Present
230,"Pence, Greg",Indiana,6,Republican,House: 2019-Present
232,"Perlmutter, Ed",Colorado,7,Democratic,House: 2007-Present
234,"Perry, Scott",Pennsylvania,10,Republican,House: 2013-Present
236,"Peters, Scott H.",California,52,Democratic,House: 2013-Present
238,"Peterson, Collin C.",Minnesota,7,Democratic,House: 1991-2021
240,"Pfluger, August",Texas,11,Republican,House: 2021-Present
242,"Phillips, Dean",Minnesota,3,Democratic,House: 2019-Present
244,"Pingree, Chellie",Maine,1,Democratic,House: 2009-Present
246,"Delegate Plaskett, Stacey E.",Virgin Islands,At Large,Democratic,House: 2015-Present
248,"Pocan, Mark",Wisconsin,2,Democratic,House: 2013-Present
250,"Porter, Katie",California,45,Democratic,House: 2019-Present
252,"Posey, Bill",Florida,8,Republican,House: 2009-Present
254,"Pressley, Ayanna",Massachusetts,7,Democratic,House: 2019-Present
256,"Price, David E.",North Carolina,4,Democratic,"House: 1987-1995, 1997-Present"
258,"Quigley, Mike",Illinois,5,Democratic,House: 2009-Present
260,"Delegate Radewagen, Aumua Amata Coleman",American Samoa,At Large,Republican,House: 2015-Present
262,"Raskin, Jamie",Maryland,8,Democratic,House: 2017-Present
264,"Ratcliffe, John",Texas,4,Republican,House: 2015-2020
266,"Reed, Tom",New York,23,Republican,House: 2010-Present
268,"Reschenthaler, Guy",Pennsylvania,14,Republican,House: 2019-Present
270,"Rice, Kathleen M.",New York,4,Democratic,House: 2015-Present
272,"Rice, Tom",South Carolina,7,Republican,House: 2013-Present
274,"Richmond, Cedric L.",Louisiana,2,Democratic,House: 2011-2021
276,"Riggleman, Denver",Virginia,5,Republican,House: 2019-2021
278,"Roby, Martha",Alabama,2,Republican,House: 2011-2021
280,"Roe, David P.",Tennessee,1,Republican,House: 2009-2021
282,"Rogers, Harold",Kentucky,5,Republican,House: 1981-Present
284,"Rogers, Mike D.",Alabama,3,Republican,House: 2003-Present
286,"Rooney, Francis",Florida,19,Republican,House: 2017-2021
288,"Rose, John W.",Tennessee,6,Republican,House: 2019-Present
290,"Rose, Max",New York,11,Democratic,House: 2019-2021
292,"Rosendale Sr., Matthew M.",Montana,At Large,Republican,House: 2021-Present
294,"Ross, Deborah K.",North Carolina,2,Democratic,House: 2021-Present
296,"Rouda, Harley",California,48,Democratic,House: 2019-2021
298,"Rouzer, David",North Carolina,7,Republican,House: 2015-Present
300,"Roy, Chip",Texas,21,Republican,House: 2019-Present
302,"Roybal-Allard, Lucille",California,40,Democratic,House: 1993-Present
304,"Ruiz, Raul",California,36,Democratic,House: 2013-Present
306,"Ruppersberger, C. A. Dutch",Maryland,2,Democratic,House: 2003-Present
308,"Rush, Bobby L.",Illinois,1,Democratic,House: 1993-Present
310,"Rutherford, John H.",Florida,4,Republican,House: 2017-Present
312,"Ryan, Tim",Ohio,13,Democratic,House: 2003-Present
314,"Delegate Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,At Large,Democratic,House: 2009-Present
316,"Salazar, Maria Elvira",Florida,27,Republican,House: 2021-Present
318,"Delegate San Nicolas, Michael F. Q.",Guam,At Large,Democratic,House: 2019-Present
320,"Sarbanes, John P.",Maryland,3,Democratic,House: 2007-Present
322,"Scalise, Steve",Louisiana,1,Republican,House: 2008-Present
324,"Scanlon, Mary Gay",Pennsylvania,5,Democratic,House: 2018-Present
326,"Schakowsky, Janice D.",Illinois,9,Democratic,House: 1999-Present
328,"Schiff, Adam B.",California,28,Democratic,House: 2001-Present
330,"Schneider, Bradley Scott",Illinois,10,Democratic,"House: 2013-2015, 2017-Present"
332,"Schrader, Kurt",Oregon,5,Democratic,House: 2009-Present
334,"Schrier, Kim",Washington,8,Democratic,House: 2019-Present
336,"Schweikert, David",Arizona,6,Republican,House: 2011-Present
338,"Scott, Austin",Georgia,8,Republican,House: 2011-Present
340,"Scott, David",Georgia,13,Democratic,House: 2003-Present
342,"Scott, Robert C. ""Bobby""",Virginia,3,Democratic,House: 1993-Present
344,"Sensenbrenner, F. James, Jr.",Wisconsin,5,Republican,House: 1979-2021
346,"Serrano, Jose E.",New York,15,Democratic,House: 1989-2021
348,"Sessions, Pete",Texas,17,Republican,"House: 1997-2019, 2021-Present"
350,"Sewell, Terri A.",Alabama,7,Democratic,House: 2011-Present
352,"Shalala, Donna E.",Florida,27,Democratic,House: 2019-2021
354,"Sherman, Brad",California,30,Democratic,House: 1997-Present
356,"Sherrill, Mikie",New Jersey,11,Democratic,House: 2019-Present
358,"Shimkus, John",Illinois,15,Republican,House: 1997-2021
360,"Simpson, Michael K.",Idaho,2,Republican,House: 1999-Present
362,"Sires, Albio",New Jersey,8,Democratic,House: 2005-Present
364,"Slotkin, Elissa",Michigan,8,Democratic,House: 2019-Present
366,"Smith, Adam",Washington,9,Democratic,House: 1997-Present
368,"Smith, Adrian",Nebraska,3,Republican,House: 2007-Present
370,"Smith, Christopher H.",New Jersey,4,Republican,House: 1981-Present
372,"Smith, Jason",Missouri,8,Republican,House: 2013-Present
374,"Smucker, Lloyd",Pennsylvania,11,Republican,House: 2017-Present
376,"Soto, Darren",Florida,9,Democratic,House: 2017-Present
378,"Spanberger, Abigail Davis",Virginia,7,Democratic,House: 2019-Present
380,"Spano, Ross",Florida,15,Republican,House: 2019-2021
382,"Spartz, Victoria",Indiana,5,Republican,House: 2021-Present
384,"Speier, Jackie",California,14,Democratic,House: 2008-Present
386,"Stansbury, Melanie Ann",New Mexico,1,Democratic,House: 2021-Present
388,"Stanton, Greg",Arizona,9,Democratic,House: 2019-Present
390,"Stauber, Pete",Minnesota,8,Republican,House: 2019-Present
392,"Steel, Michelle",California,48,Republican,House: 2021-Present
394,"Stefanik, Elise M.",New York,21,Republican,House: 2015-Present
396,"Steil, Bryan",Wisconsin,1,Republican,House: 2019-Present
398,"Steube, W. Gregory",Florida,17,Republican,House: 2019-Present
400,"Stevens, Haley M.",Michigan,11,Democratic,House: 2019-Present
402,"Stewart, Chris",Utah,2,Republican,House: 2013-Present
404,"Stivers, Steve",Ohio,15,Republican,House: 2011-2021
406,"Strickland, Marilyn",Washington,10,Democratic,House: 2021-Present
408,"Suozzi, Thomas R.",New York,3,Democratic,House: 2017-Present
410,"Swalwell, Eric",California,15,Democratic,House: 2013-Present
412,"Sánchez, Linda T.",California,38,Democratic,House: 2003-Present
